Element,Mean_Distance,Std_Dev_Distance,1st_cutoff
Ag,3.7928779069767415,0.35707050843151916,4.456808630452274
Al,3.7955498020103495,0.390006261830869,4.837747657567477
Am,,,
As,3.8054621542940525,0.3035081335591021,4.567375213050889
Au,4.064169184290032,0.4909604854387652,5.0
B,3.801198281349416,0.48221903989964654,5.0
Ba,4.354502369668259,0.3983835830392436,5.0
Be,3.576602086438135,0.3382797851930664,4.390260380500621
Bi,3.7583483290488706,0.11739469579886379,4.023029035041047
Br,3.5191089527026627,0.25234320663456666,4.248910291673054
C,3.5822427059955078,0.3476966800647685,4.388670752834917
Ca,3.8129723756905984,0.20712823693774404,4.303448233017803
Cd,3.8858078602620103,0.2848826247829044,4.529004560115672
Ce,4.356000000000008,0.31599227789792517,4.890870870870871
Cl,3.353628115549002,0.1927862030530455,3.9520240961682407
Co,3.959287433798745,0.47238446579770776,4.942525097670243
Cr,3.8768510984540416,0.3401279580986479,4.788031364698031
Cs,3.8253728070175423,0.2511334158920272,4.348016665313963
Cu,3.995086399108145,0.455547129728066,5.0
Dy,4.286050420168061,0.38917898757115715,4.8918218218218215
Er,4.149664429530206,0.3921750040666241,4.849175662148635
Eu,4.259068322981368,0.3730570155030737,4.955255255255255
F,2.8851662367440185,0.2559774878701509,3.7661226792357922
Fe,3.7918560467665556,0.36247624280344576,4.608450061673285
Ga,3.828452326117036,0.3800696030214725,4.7346754862971085
Gd,4.200167597765402,0.43646414617088825,5.0
Ge,3.7835984605515867,0.3258806381393954,4.566337428519611
H,3.3600986193293845,0.2704055476788177,3.846563380197014
Hf,3.8688333333333316,0.231104980160427,4.367227227227227
Hg,4.242627118644073,0.36542841409293936,4.881891891891892
Ho,3.6884375000000054,0.31546600325961976,4.033754034314595
I,3.7780025086233926,0.24561893753947506,4.367421235048863
In,4.039908186687073,0.4572361781958542,4.929622625628632
Ir,3.5479797979797922,0.18710717793956277,3.9662162162162162
K,3.2923440966612483,1.743716218958174,5.0
La,4.2170023980815365,0.33811465751849784,4.871531531531532
Li,3.3227355623100086,0.2975647296884317,3.9791612333053776
Lu,3.7754000000000025,0.165293861368354,4.21044044044044
Mg,4.0349505766062315,0.421035847279823,4.890463326189052
Mn,3.9482491909385025,0.41363458135161313,5.0
Mo,4.048640114424024,0.3140947673344621,4.82967480994508
N,3.518858604651138,0.4280210924094827,4.470444859273689
Na,3.5731142206312954,0.3194152050426238,4.199648296945594
Nb,4.011264721869904,0.3775416398046695,4.97718056394733
Nd,4.222347266881024,0.3991746174116722,5.0
Ni,3.576666666666666,0.25338089248323986,4.007559270982695
Np,3.9760999999999957,0.09963647492599483,4.282222222222222
O,3.0289877759397674,0.3108744243715459,3.8021183345507668
Os,4.169796437659044,0.20416967092546415,4.569962635307981
P,3.737422793713624,0.2948164897009874,4.536815494172852
Pb,3.6709146341463366,0.17674171960699298,4.1552552552552555
Pd,3.9620209424083814,0.4150198898786874,4.691472553634716
Pr,3.743157894736843,0.09104153669347174,4.043713713713714
Pt,4.161506849315023,0.275004419321072,4.642378384390397
Pu,4.325384615384615,0.2805768675108525,4.735705705705706
Rb,3.898373983739842,0.11182620614872019,4.231501501501501
Re,4.313986765922265,0.27804393589555154,5.0
Rh,4.087500000000001,0.14776106839534328,4.281911911911912
Ru,4.102420306965739,0.3370732366540893,4.76948948948949
S,3.4824323910915695,0.2771121824131192,4.194077360643927
Sb,4.1189248853210865,0.37471039130259504,5.0
Sc,3.643970588235297,0.1424457240977263,4.001111111111111
Se,3.6109647696476874,0.22017233773255382,4.174116609101594
Si,3.8058008322849126,0.34598814373810555,4.842557271986701
Sm,4.0027272727272605,0.2430168152315987,4.414141889637385
Sn,4.147747193046008,0.3804130037956001,4.9543243243243245
Sr,3.7393360995850586,0.16048385487456343,4.233929635341047
Ta,3.937026156941687,0.3157128549860803,5.0
Tb,4.132409638554218,0.42595657869886006,5.0
Tc,4.338539325842698,0.26034668354373214,4.873873873873874
Te,3.8961098901098827,0.22489951065103939,4.293914785656527
Th,4.053450292397665,0.24229374888740732,4.472852852852853
Ti,3.912404014656688,0.31480664278580456,4.844698993287582
Tl,3.6665546218487415,0.31730824986316597,4.388418418418419
Tm,3.705555555555552,0.23915469586328245,4.417347347347347
U,4.102109004739337,0.3641777991353634,4.943752220689158
V,3.8492372017132386,0.31510994471961845,4.817186135084033
W,4.017447456594568,0.3160028047406857,5.0
Xe,3.8700000000000006,0.05163977794943232,3.9447847847847846
Y,3.789290780141839,0.16822559582022303,4.194119795471147
Yb,4.273582089552232,0.4011804333804103,4.8678978978978975
Zn,3.8690231904426984,0.4295213686656327,5.0
Zr,3.8051568381430383,0.3683934041826297,4.269241593946298
